"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,39678317,128333294,1,02-AUG-20,3,"N",48,5,23,"F",1,1,"R","","",23,0
2020,41338922,133888486,1,04-JUL-20,1,"M",27,5,28,"F",1,1,"R","","",28,0
2020,41345792,133888497,1,07-JUL-20,1,"C",51,5,31,"F",3,,"R","","",31,0
2020,41338928,133888515,1,13-JUL-20,1,"M",51,5,23,"M",3,2,"","","",23,0
2020,41345801,133888517,1,14-JUL-20,2,"C",23,5,35,"M",3,2,"","","",35,0
2020,41345799,133888517,2,14-JUL-20,2,"C",23,5,41,"F",3,2,"","","",41,0
2020,41338927,133884313,1,12-JUL-20,1,"M",35,5,28,"M",3,,"","","",28,0
2020,41345804,133888523,1,17-JUL-20,1,"C",51,5,35,"F",3,2,"","","",35,0
2020,41345813,133888547,1,22-JUL-20,2,"C",23,5,33,"F",3,2,"","","",33,0
2020,41345815,133888550,2,23-JUL-20,2,"C",23,5,40,"F",3,2,"","","",40,0
2020,39198133,126780116,1,01-JUN-20,2,"N",6,5,49,"M",1,1,"R","","",49,0
2020,39193506,126780211,1,02-JUN-20,1,"N",27,5,37,"M",1,2,"R","","",37,0
2020,39198172,126780308,1,02-JUN-20,2,"N",51,5,19,"M",1,3,"R","","",19,0
2020,39198210,126780466,1,04-JUN-20,2,"N",23,5,20,"M",1,2,"R","","",20,0
2020,39198230,126780505,1,04-JUN-20,1,"N",6,5,44,"M",1,1,"R","","",44,0
2020,39198291,126780704,1,07-JUN-20,2,"N",51,5,48,"M",1,2,"R","","",48,0
2020,39198340,126780870,1,08-JUN-20,2,"N",23,5,29,"M",1,2,"N","","",29,0
2020,39198372,126780966,1,09-JUN-20,2,"N",6,5,21,"F",1,2,"R","","",21,0
2020,39198377,126780982,1,09-JUN-20,2,"N",23,5,21,"F",1,1,"R","","",21,0
2020,39198405,126781074,1,10-JUN-20,2,"N",23,5,38,"M",1,2,"R","","",38,0
2020,39198444,126781273,1,12-JUN-20,2,"N",27,5,21,"M",1,1,"R","","",21,0
2020,39198480,126772629,1,13-JUN-20,1,"N",38,5,36,"M",1,1,"R","","",36,0
2020,39198490,126772636,1,14-JUN-20,1,"N",51,5,20,"F",1,1,"R","","",20,0
2020,39198526,126781478,1,15-JUN-20,2,"N",51,5,40,"F",1,1,"R","","",40,0
2020,39198532,126781501,1,15-JUN-20,2,"N",51,5,24,"M",4,2,"R","","",24,0
2020,39198538,126781545,1,15-JUN-20,3,"N",48,5,30,"F",1,2,"R","","",30,0
2020,39198572,126781695,1,17-JUN-20,1,"N",5,5,36,"M",2,2,"R","","",36,0
2020,39198611,126781824,1,17-JUN-20,2,"N",5,5,22,"M",1,3,"R","","",22,0
2020,39198643,126781972,1,19-JUN-20,2,"N",44,5,29,"M",1,1,"R","","",29,0
2020,39198704,126772718,1,21-JUN-20,1,"N",51,5,35,"M",2,2,"R","","",35,0
2020,39198711,126782187,1,21-JUN-20,1,"N",40,5,58,"M",1,2,"R","","",58,0
2020,39198814,126782592,1,25-JUN-20,1,"N",14,5,22,"M",1,1,"U","","",22,0
2020,39193609,126782694,1,27-JUN-20,2,"N",51,5,29,"M",3,1,"R","","",29,0
2020,39198886,126782838,1,28-JUN-20,2,"N",5,5,36,"F",3,2,"N","","",36,0
2020,39718983,128497549,2,21-AUG-20,1,"N",51,5,19,"M",3,1,"R","","",19,0
2020,39718984,128497549,1,21-AUG-20,1,"N",51,5,43,"M",3,1,"R","","",43,0
2020,39253685,126939851,1,08-JAN-20,1,"N",51,5,82,"M",1,1,"R","","",82,0
2020,39253695,126941879,1,25-JAN-20,1,"C",16,5,29,"M",1,1,"R","","",29,0
2020,39263016,126941909,1,01-FEB-20,1,"C",16,5,35,"F",1,2,"R","","",35,0
2020,39253724,126940094,1,08-MAR-20,3,"C",35,5,34,"F",1,1,"R","","",34,0
2020,39253734,126942089,1,04-APR-20,2,"N",35,5,27,"M",1,1,"R","","",27,0
2020,39253753,126942232,2,22-MAY-20,1,"N",29,5,61,"F",1,1,"R","","",61,0
2020,38939200,125973603,1,23-APR-20,2,"M",5,5,17,"M",1,2,"R","R","",17,0
2020,38939226,125973626,1,05-MAR-20,3,"N",44,5,14,"M",1,1,"R","R","",14,0
2020,38939243,125973664,1,03-JUN-20,1,"N",21,5,37,"M",1,2,"R","","",37,0
2020,38939256,125973706,1,10-JUN-20,1,"N",51,5,20,"M",3,2,"R","","",20,0
2020,38939284,125973843,1,29-JUN-20,1,"N",51,5,14,"F",1,2,"R","R","",14,0
2020,39974925,129255114,1,18-SEP-20,1,"C",39,5,33,"M",2,2,"R","","",33,0
2020,39974927,129255120,1,20-SEP-20,1,"C",51,5,61,"M",1,1,"R","","",61,0
2020,39974930,129255135,1,27-SEP-20,1,"C",46,5,30,"M",1,2,"R","","",30,0
2020,39986053,129309833,1,21-SEP-20,3,"N",51,5,24,"M",1,1,"R","","",24,0
2020,39986078,129311868,1,15-SEP-20,3,"C",16,5,20,"F",1,1,"R","","",20,0
2020,39986081,129311872,1,10-SEP-20,3,"C",16,5,55,"M",3,1,"R","","",55,0
2020,39989609,129311920,1,16-AUG-20,3,"N",14,5,39,"F",1,1,"R","","",39,0
2020,39986124,129311960,1,02-SEP-20,2,"N",47,5,33,"M",1,1,"R","","",33,0
2020,39986141,129311988,1,31-AUG-20,3,"N",51,5,26,"F",1,1,"R","","",26,0
2020,39986150,129311998,1,14-AUG-20,3,"N",16,5,27,"M",1,1,"R","","",27,0
2020,39027762,126372351,1,06-MAR-20,1,"N",16,5,32,"M",3,2,"R","","",32,0
2020,39027776,126372376,1,08-MAR-20,1,"N",23,5,33,"M",3,2,"R","","",33,0
2020,39027885,126372604,1,27-MAR-20,2,"N",23,5,44,"F",1,2,"R","","",44,0
2020,39027544,126371761,1,03-FEB-20,3,"N",35,5,50,"M",1,2,"R","","",50,0
2020,39027562,126371814,1,07-FEB-20,2,"N",16,5,25,"F",0,3,"N","","",25,0
2020,39027584,126371866,1,10-FEB-20,1,"N",23,5,19,"M",1,2,"R","","",19,0
2020,39027587,126371874,1,10-FEB-20,2,"N",35,5,34,"F",1,2,"R","","",34,0
2020,39027612,126371948,1,15-FEB-20,1,"N",16,5,22,"M",3,2,"R","","",22,0
2020,39027678,126372166,1,25-FEB-20,3,"N",23,5,38,"M",2,2,"R","","",38,0
2020,39027700,126372207,1,27-FEB-20,2,"N",23,5,29,"F",1,2,"N","","",29,0
2020,39027889,126372610,1,28-MAR-20,2,"N",23,5,26,"M",1,2,"R","","",26,0
2020,39027772,126372371,1,08-MAR-20,1,"N",23,5,40,"M",3,2,"R","","",40,0
